c_kincode,c_kin_pair1,c_kin_pair2,c_kin_pair_notes,c_kinrel_chn,c_kinrel,c_kinrel_alt,c_pick_sorting,c_upstep,c_dwnstep,c_marstep,c_colstep,c_kinrel_simplified
0,0.0,0.0,,未詳,U,undetermined,9999.0,99.0,99.0,99.0,99.0,U
2,303.0,303.0,,直系祖先,G-n,"G-n, lineal ancestor, generation unknown",50.0,99.0,0.0,0.0,0.0,G-n
39,263.0,368.0,SSSD,高祖;四世祖,FFFF,FFFF,-6.0,4.0,0.0,0.0,0.0,FFFF
48,255.0,347.0,,曾祖,FFF,FFF,-5.0,3.0,0.0,0.0,0.0,FFF
62,243.0,251.0,,祖父,FF,FF,-4.0,2.0,0.0,0.0,0.0,FF
64,240.0,459.0,,從祖;伯叔祖,FFB,FFB,9999.0,2.0,0.0,0.0,1.0,FFB
66,238.0,372.0,,外祖父,MF,MF Mother's father,-7.0,2.0,0.0,0.0,0.0,MF
75,180.0,176.0,,父,F,F Father,-1.0,1.0,0.0,0.0,0.0,F
76,181.0,-10000.0,,岳父,WF,WF,21.0,1.0,0.0,1.0,0.0,WF
77,179.0,366.0,,母舅,MB,MB Mother's brother,9999.0,1.0,0.0,0.0,1.0,MB
79,177.0,330.0,,從父;伯叔父,FB,FB Father's brother,9999.0,1.0,0.0,0.0,1.0,FB
82,186.0,-10000.0,,嗣父,F*,"F* Father, adopting heir",-2.0,1.0,0.0,0.0,0.0,F
98,214.0,376.0,,繼父,F^,F^ Stepfather,-2.0,1.0,0.0,0.0,0.0,F
111,180.0,176.0,,母,M,M Mother,-3.0,1.0,0.0,0.0,0.0,M
118,118.0,374.0,,兄弟,B,B Brother,1.0,0.0,0.0,0.0,1.0,B
119,119.0,-1.0,FBD,從兄弟;堂兄弟,FBS,FBS Father's brother's son,9999.0,1.0,1.0,0.0,1.0,FBS
121,405.0,-1.0,FZD,舅表兄弟,MBS,MBS,9999.0,1.0,1.0,0.0,1.0,MBS
125,126.0,169.0,,兄,B+,"B+  Brother, elder",2.0,0.0,0.0,0.0,1.0,B
126,125.0,164.0,,弟,B-,"B– Brother, younger",3.0,0.0,0.0,0.0,1.0,B
130,131.0,417.0,FBD+,從弟,FBS-,"FBS– Father's brother's son, younger",9999.0,1.0,1.0,0.0,1.0,FBS
131,130.0,416.0,FBD-,從兄,FBS+,"FBS+ Father's brother's son, elder",9999.0,1.0,1.0,0.0,1.0,FBS
134,-10000.0,135.0,Possibly 168,丈夫,H,H Husband,0.0,0.0,0.0,1.0,0.0,H
135,134.0,-10000.0,,妻子,W,W Wife,0.0,0.0,0.0,1.0,0.0,W
136,385.0,384.0,,姐夫,Z+H,"Z+H Sister, elder, husband of",4.0,0.0,0.0,1.0,1.0,ZH
150,151.0,382.0,,同母異父弟,B½-,"Younger half-brother, by the same mother",,0.0,0.0,0.0,1.0,B
