group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y4,48883,-40,賀應機,賀應機 (48883) - Great-grandfather,,0,,,,
x4,y4,18071,-40,賀撫辰,賀撫辰 (18071) - Grandfather,,0,,,,
x5,y4,,0,,,,0,,,,
x6,y4,48884,-40,楊氏(賀應機妻),楊氏(賀應機妻) (48884) - Great-grandmother,,0,,,,
x7,y4,48885,-40,侯氏(賀應機妻),侯氏(賀應機妻) (48885) - Great-grandmother,,0,,,,
x8,y4,48886,-40,王氏(賀撫辰妻),王氏(賀撫辰妻) (48886) - Grandmother,,0,,,,
x3,y3,,0,,,,0,,,,
x4,y3,18072,-100,賀坦,賀坦 (18072) - Father,,0,,,,
x5,y3,,0,,,,0,,,,
x6,y3,18067,60,鄧洵彥,鄧洵彥 (18067) - Father-in-law (wife's father),,0,,,,
x7,y3,48887,-40,王氏(賀坦妻),王氏(賀坦妻) (48887) - Mother,,0,,,,
x8,y3,,0,,,,0,,,,
x3,y2,,0,,,,0,,,,
x4,y2,18073,40,賀昶,賀昶 (18073) - Only son,,0,,,,
x5,y2,688,100,賀允中,賀允中 (688) - Ego,entry,12,宋,1090,1168,科舉: 進士(籠統) (1118)
x6,y2,5046,-80,鄧氏(賀允中妻),鄧氏(賀允中妻) (5046) - Wife,,0,,,,
x7,y2,48888,-80,鄧氏(賀允中妻),鄧氏(賀允中妻) (48888) - Wife,,0,,,,
x8,y2,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,,0,,,,0,,,,
x5,y1,529,20,朱商卿,朱商卿 (529) - Son-in-law,,2,宋,0,0,
x6,y1,,0,,,,0,,,,
x7,y1,,0,,,,0,,,,
x8,y1,,0,,,,0,,,,
