group,variable,personID,value,text,info,entry,assoc_num,dynasty,yearBirth,yearDeath,examStatus
x3,y3,,0,,,,0,,,,
x4,y3,,0,,,,0,,,,
x5,y3,23799,-100,章賜,章賜 (23799) - Father,,0,,,,
x6,y3,,0,,,,0,,,,
x7,y3,,0,,,,0,,,,
x3,y2,1258,-20,柳庭俊,柳庭俊 (1258) - Wife's elder brother,,5,宋,0,1126,科舉: 正奏名進士 (1079)
x4,y2,23800,-20,章雲,章雲 (23800) - Elder brother,,0,,,,
x5,y2,339,100,章誼,章誼 (339) - Ego,entry,6,宋,1078,1138,科舉: 正奏名進士 (1105)
x6,y2,,0,,,,0,,,,
x7,y2,,0,,,,0,,,,
x3,y1,,0,,,,0,,,,
x4,y1,119674,40,章駽,章駽 (119674) - First son,,0,,,,
x5,y1,,0,,,,0,,,,
x6,y1,14047,40,章駒,章駒 (14047) - Second son,,0,,,,
x7,y1,119675,40,章駟,章駟 (119675) - Third son,,0,,,,
